"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","sym","11","71","9","9","0","60","2","0","0","0","0","0","0","0","14"
"3","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym","11","107","9","9","0","96","2","0","0","0","0","0","0","0","14"
"4","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","d01","1","151","0","0","0","150","1","0","0","0","0","0","0","0","0"
"5","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","d02","1","152","0","0","0","151","1","0","0","0","0","0","0","0","0"
"6","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","d03","1","153","0","0","0","152","1","0","0","0","0","0","0","0","0"
"7","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","d04","2","156","0","0","0","154","2","0","0","0","0","0","0","0","0"
"8","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","d05","2","158","1","1","0","156","1","0","0","0","0","0","0","0","0"
"9","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","d06","3","154","1","1","0","151","2","0","0","0","0","0","0","0","0"
"10","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","d07","3","153","1","1","0","150","2","0","0","0","0","0","0","0","0"
"11","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","d08","4","159","2","2","0","155","2","0","0","0","0","0","0","0","0"
"12","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","d09","5","159","1","1","0","154","4","0","0","0","0","0","0","0","0"
"13","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d01","12","258","9","9","0","246","3","0","0","0","0","0","0","0","14"
"14","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d02","12","259","9","9","0","247","3","0","0","0","0","0","0","0","14"
"15","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d03","12","260","9","9","0","248","3","0","0","0","0","0","0","0","14"
"16","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d04","13","263","9","9","0","250","4","0","0","0","0","0","0","0","14"
"17","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d05","13","265","10","10","0","252","3","0","0","0","0","0","0","0","14"
"18","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d06","14","261","10","10","0","247","4","0","0","0","0","0","0","0","14"
"19","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d07","14","260","10","10","0","246","4","0","0","0","0","0","0","0","14"
"20","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d08","15","266","11","11","0","251","4","0","0","0","0","0","0","0","14"
"21","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d09","16","266","10","10","0","250","6","0","0","0","0","0","0","0","14"
"22","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d01_d02","13","410","9","9","0","397","4","0","0","0","0","0","0","0","14"
"23","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d01_d03","13","411","9","9","0","398","4","0","0","0","0","0","0","0","14"
"24","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d01_d04","14","414","9","9","0","400","5","0","0","0","0","0","0","0","14"
"25","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d01_d05","14","416","10","10","0","402","4","0","0","0","0","0","0","0","14"
"26","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d01_d06","15","412","10","10","0","397","5","0","0","0","0","0","0","0","14"
"27","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d01_d07","15","411","10","10","0","396","5","0","0","0","0","0","0","0","14"
"28","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d01_d08","16","417","11","11","0","401","5","0","0","0","0","0","0","0","14"
"29","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Patients","adm_sym_d01_d09","17","417","10","10","0","400","7","0","0","0","0","0","0","0","14"
"30","0.20.2","1","1","2","21","4","2","15","1","71","PCR","Staff","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
