"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","sym","13","88","8","8","0","75","5","0","0","0","0","0","0","0","3"
"3","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym","13","124","8","8","0","111","5","0","0","0","0","0","0","0","3"
"4","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","d01","1","151","0","0","0","150","1","0","0","0","0","0","0","0","0"
"5","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","d02","1","152","1","1","0","151","0","0","0","0","0","0","0","0","0"
"6","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","d03","1","153","0","0","0","152","1","0","0","0","0","0","0","0","0"
"7","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","d04","2","156","0","0","0","154","2","0","0","0","0","0","0","0","0"
"8","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","d05","2","158","1","1","0","156","1","0","0","0","0","0","0","0","0"
"9","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","d06","3","154","2","2","0","151","1","0","0","0","0","0","0","0","4"
"10","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","d07","3","153","2","2","0","150","1","0","0","0","0","0","0","0","4"
"11","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","d08","4","159","3","3","0","155","1","0","0","0","0","0","0","0","2"
"12","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","d09","5","159","2","2","0","154","3","0","0","0","0","0","0","0","4"
"13","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d01","14","275","8","8","0","261","6","0","0","0","0","0","0","0","3"
"14","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d02","14","276","9","9","0","262","5","0","0","0","0","0","0","0","3"
"15","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d03","14","277","8","8","0","263","6","0","0","0","0","0","0","0","3"
"16","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d04","15","280","8","8","0","265","7","0","0","0","0","0","0","0","3"
"17","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d05","15","282","9","9","0","267","6","0","0","0","0","0","0","0","3"
"18","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d06","16","278","10","10","0","262","6","0","0","0","0","0","0","0","5"
"19","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d07","16","277","10","10","0","261","6","0","0","0","0","0","0","0","5"
"20","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d08","17","283","11","11","0","266","6","0","0","0","0","0","0","0","5"
"21","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d09","18","283","10","10","0","265","8","0","0","0","0","0","0","0","5"
"22","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d01_d02","15","427","9","9","0","412","6","0","0","0","0","0","0","0","3"
"23","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d01_d03","15","428","8","8","0","413","7","0","0","0","0","0","0","0","3"
"24","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d01_d04","16","431","8","8","0","415","8","0","0","0","0","0","0","0","3"
"25","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d01_d05","16","433","9","9","0","417","7","0","0","0","0","0","0","0","3"
"26","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d01_d06","17","429","10","10","0","412","7","0","0","0","0","0","0","0","5"
"27","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d01_d07","17","428","10","10","0","411","7","0","0","0","0","0","0","0","5"
"28","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d01_d08","18","434","11","11","0","416","7","0","0","0","0","0","0","0","5"
"29","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Patients","adm_sym_d01_d09","19","434","10","10","0","415","9","0","0","0","0","0","0","0","5"
"30","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"31","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","sym","13","88","8","8","0","75","5","0","0","0","0","0","0","0","3"
"32","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym","13","124","8","8","0","111","5","0","0","0","0","0","0","0","3"
"33","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","d01","3","236","3","3","0","233","0","0","0","0","0","0","0","0","13"
"34","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","d02","4","237","2","2","0","233","2","0","0","0","0","0","0","0","12"
"35","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","d03","4","238","3","3","0","234","1","0","0","0","0","0","0","0","1"
"36","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","d04","4","239","3","3","0","235","1","0","0","0","0","0","0","0","2"
"37","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","d05","4","239","2","2","0","235","2","0","0","0","0","0","0","0","1"
"38","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","d06","5","239","3","3","0","234","2","0","0","0","0","0","0","0","1"
"39","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","d07","5","239","5","5","0","234","0","0","0","0","0","0","0","0","1"
"40","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","d08","5","239","5","5","0","234","0","0","0","0","0","0","0","0","1"
"41","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","d09","5","239","5","5","0","234","0","0","0","0","0","0","0","0","1"
"42","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d01","16","360","11","11","0","344","5","0","0","0","0","0","0","0","14"
"43","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d02","17","361","10","10","0","344","7","0","0","0","0","0","0","0","13"
"44","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d03","17","362","11","11","0","345","6","0","0","0","0","0","0","0","3"
"45","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d04","17","363","11","11","0","346","6","0","0","0","0","0","0","0","4"
"46","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d05","17","363","10","10","0","346","7","0","0","0","0","0","0","0","3"
"47","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d06","18","363","11","11","0","345","7","0","0","0","0","0","0","0","3"
"48","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d07","18","363","13","13","0","345","5","0","0","0","0","0","0","0","3"
"49","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d08","18","363","13","13","0","345","5","0","0","0","0","0","0","0","3"
"50","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d09","18","363","13","13","0","345","5","0","0","0","0","0","0","0","3"
"51","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d01_d02","20","597","13","13","0","577","7","0","0","0","0","0","0","0","14"
"52","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d01_d03","20","598","14","14","0","578","6","0","0","0","0","0","0","0","14"
"53","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d01_d04","20","599","14","14","0","579","6","0","0","0","0","0","0","0","14"
"54","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d01_d05","20","599","13","13","0","579","7","0","0","0","0","0","0","0","14"
"55","0.20.2","1","1","2","21","4","2","15","1","88","PCR","Staff","adm_sym_d01_d06","21","599","14","14","0","578","7","0","0","0","0","0","0","0","14"
