"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","sym","7","83","7","7","0","76","0","0","0","0","0","0","0","0","12"
"3","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","adm_sym","7","119","7","7","0","112","0","0","0","0","0","0","0","0","12"
"4","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","10"
"5","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","d02","1","152","1","1","0","151","0","0","0","0","0","0","0","0","2"
"6","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","d03","2","153","2","2","0","151","0","0","0","0","0","0","0","0","9"
"7","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","d04","2","156","2","2","0","154","0","0","0","0","0","0","0","0","7"
"8","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","d05","3","158","3","3","0","155","0","0","0","0","0","0","0","0","7"
"9","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","d06","3","154","3","3","0","151","0","0","0","0","0","0","0","0","1"
"10","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","d07","5","153","5","5","0","148","0","0","0","0","0","0","0","0","4"
"11","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","d08","5","159","5","5","0","154","0","0","0","0","0","0","0","0","4"
"12","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","d09","6","159","6","6","0","153","0","0","0","0","0","0","0","0","3"
"13","0.20.2","1","2","3","18","4","2","12","1","83","PCR","Patients","adm_sym_d01","8","270","8","8","0","262","0","0","0","0","0","0","0","0","12"
