"","day","days_from_peak","Test","sensitivity"
"1...1",1,-7,"sens",0
"1...2",1,-7,"sens_adj_const",0
"1...3",1,-7,"sens_adj_rel",0
"2...4",2,-6,"sens",0
"2...5",2,-6,"sens_adj_const",0
"2...6",2,-6,"sens_adj_rel",0
"3...7",3,-5,"sens",0.023
"3...8",3,-5,"sens_adj_const",0.016974
"3...9",3,-5,"sens_adj_rel",0.01931827467306
"4...10",4,-4,"sens",0.29
"4...11",4,-4,"sens_adj_const",0.21402
"4...12",4,-4,"sens_adj_rel",0.247985986045702
"5...13",5,-3,"sens",0.613
"5...14",5,-3,"sens_adj_const",0.452394
"5...15",5,-3,"sens_adj_rel",0.531554069238716
"6...16",6,-2,"sens",0.752
"6...17",6,-2,"sens_adj_const",0.554976
"6...18",6,-2,"sens_adj_rel",0.658615330861219
"7...19",7,-1,"sens",0.799
"7...20",7,-1,"sens_adj_const",0.589662
"7...21",7,-1,"sens_adj_rel",0.703974597165374
"8...22",8,0,"sens",0.809
"8...23",8,0,"sens_adj_const",0.597042
"8...24",8,0,"sens_adj_rel",0.714207053162912
"9...25",9,1,"sens",0.8
"9...26",9,1,"sens_adj_const",0.5904
"9...27",9,1,"sens_adj_rel",0.70485566674881
"10...28",10,2,"sens",0.779
"10...29",10,2,"sens_adj_const",0.574902
"10...30",10,2,"sens_adj_rel",0.682262423857566
"11...31",11,3,"sens",0.75
"11...32",11,3,"sens_adj_const",0.5535
"11...33",11,3,"sens_adj_rel",0.65035163446825
"12...34",12,4,"sens",0.714
"12...35",12,4,"sens_adj_const",0.526932
"12...36",12,4,"sens_adj_rel",0.610558600126314
"13...37",13,5,"sens",0.675
"13...38",13,5,"sens_adj_const",0.49815
"13...39",13,5,"sens_adj_rel",0.566949365405021
"14...40",14,6,"sens",0.632
"14...41",14,6,"sens_adj_const",0.466416
"14...42",14,6,"sens_adj_rel",0.519323684284195
"15...43",15,7,"sens",0.588
"15...44",15,7,"sens_adj_const",0.433944
"15...45",15,7,"sens_adj_rel",0.470812645295396
"16...46",16,8,"sens",0.545
"16...47",16,8,"sens_adj_const",0.40221
"16...48",16,8,"sens_adj_rel",0.42353199849838
"17...49",17,9,"sens",0.504
"17...50",17,9,"sens_adj_const",0.371952
"17...51",17,9,"sens_adj_rel",0.378624214391636
"18...52",18,10,"sens",0.465
"18...53",18,10,"sens_adj_const",0.34317
"18...54",18,10,"sens_adj_rel",0.336347431991155
"19...55",19,11,"sens",0.43
"19...56",19,11,"sens_adj_const",0.31734
"19...57",19,11,"sens_adj_rel",0.298284114052583
"20...58",20,12,"sens",0.398
"20...59",20,12,"sens_adj_const",0.293724
"20...60",20,12,"sens_adj_rel",0.26371840320074
"21...61",21,13,"sens",0.37
"21...62",21,13,"sens_adj_const",0.27306
"21...63",21,13,"sens_adj_rel",0.233251248477197
"111...64",22,14,"sens",0.342971836967252
"111...65",22,14,"sens_adj_const",0.253113215681832
"111...66",22,14,"sens_adj_rel",0.20488718283133
"23...67",23,15,"sens",0.315839549208191
"23...68",23,15,"sens_adj_const",0.233089587315645
"23...69",23,15,"sens_adj_rel",0.178084496253653
"31...70",24,16,"sens",0.29015924181424
"31...71",24,16,"sens_adj_const",0.214137520458909
"31...72",24,16,"sens_adj_rel",0.15380429711446
"41...73",25,17,"sens",0.265853212270985
"41...74",25,17,"sens_adj_const",0.196199670655987
"41...75",25,17,"sens_adj_rel",0.131951893081973
"51...76",26,18,"sens",0.242847916302576
"51...77",26,18,"sens_adj_const",0.179221762231301
"51...78",26,18,"sens_adj_rel",0.112413620964493
"61...79",27,19,"sens",0.221073745344202
"61...80",27,19,"sens_adj_const",0.163152424064021
"61...81",27,19,"sens_adj_rel",0.0950608642048002
"71...82",28,20,"sens",0.200464815923102
"71...83",28,20,"sens_adj_const",0.147943034151249
"71...84",28,20,"sens_adj_rel",0.0797539080612946
"81...85",29,21,"sens",0.180958770310808
"81...86",29,21,"sens_adj_const",0.133547572489376
"81...87",29,21,"sens_adj_rel",0.0663455602392946
"91...88",30,22,"sens",0.162496587843469
"91...89",30,22,"sens_adj_const",0.11992248182848
"91...90",30,22,"sens_adj_rel",0.0546844793899565
"101...91",31,23,"sens",0.145022406339326
"101...92",31,23,"sens_adj_const",0.107026535878422
"101...93",31,23,"sens_adj_rel",0.044618168631538
"112...94",32,24,"sens",0.128483353073011
"112...95",32,24,"sens_adj_const",0.0948207145678818
"112...96",32,24,"sens_adj_rel",0.0359956055528271
"121...97",33,25,"sens",0.112829384795232
"121...98",33,25,"sens_adj_const",0.0832680859788809
"121...99",33,25,"sens_adj_rel",0.0286694935927573
"131...100",34,26,"sens",0.0980131363137787
"131...101",34,26,"sens_adj_const",0.0723336945995687
"131...102",34,26,"sens_adj_rel",0.0224981319004999
"141...103",35,27,"sens",0.0839897771776954
"141...104",35,27,"sens_adj_const",0.0619844555571392
"141...105",35,27,"sens_adj_rel",0.0173469115035132
"151...106",36,28,"sens",0.0707168760309747
"151...107",36,28,"sens_adj_const",0.0521890545108593
"151...108",36,28,"sens_adj_rel",0.0130894546735067
"161...109",37,29,"sens",0.0581542722253487
"161...110",37,29,"sens_adj_const",0.0429178529023073
"161...111",37,29,"sens_adj_rel",0.0096084216936098
"171...112",38,30,"sens",0.0462639543036999
"171...113",38,30,"sens_adj_const",0.0341427982761305
"171...114",38,30,"sens_adj_rel",0.00679601478341574
"181...115",39,31,"sens",0.035009944986414
"181...116",39,31,"sens_adj_const",0.0258373393999736
"181...117",39,31,"sens_adj_rel",0.00455421278882694
"191...118",40,32,"sens",0.0243581923126729
"191...119",40,32,"sens_adj_const",0.0179763459267526
"191...120",40,32,"sens_adj_rel",0.00279477250351651
"201...121",41,33,"sens",0.0142764666073032
"201...122",41,33,"sens_adj_const",0.0105360323561897
"201...123",41,33,"sens_adj_rel",0.00143903331453966
"211...124",42,34,"sens",0.00473426296142979
"211...125",42,34,"sens_adj_const",0.00349388606553518
"211...126",42,34,"sens_adj_rel",0.000417561443112058
"22...127",43,35,"sens",0
"22...128",43,35,"sens_adj_const",0
"22...129",43,35,"sens_adj_rel",0
"110...130",21,13,"sens",0.37
"110...131",21,13,"sens_adj_const",0.27306
"110...132",21,13,"sens_adj_rel",0.233251248477197
